,Rbin,mean,v,npt
10412,182300,879.13125,1.70,15.0
10413,186700,883.650390625,1.70,24.0
10414,189200,474.98253676470586,1.70,34.0
10415,192000,534.7376893939394,1.70,33.0
10416,190200,8.356026785714286,1.70,28.0
10417,197000,429.84446022727275,1.70,44.0
10418,203400,441.16099330357144,1.70,56.0
10419,208800,499.42271205357144,1.70,56.0
10420,202600,174.82068452380952,1.70,42.0
10421,211000,-616.562863372093,1.70,43.0
10422,210000,378.6116477272727,1.70,55.0
10423,208900,157.10373263888889,1.70,36.0
10424,207700,453.6640625,1.70,52.0
10425,212700,-1468.40283203125,1.70,32.0
10426,206400,-851.4080141129032,1.70,62.0
10427,211500,-1759.88427734375,1.70,32.0
10428,210100,-1679.1085737179487,1.70,39.0
10429,209800,-226.9815625,1.70,50.0
10430,212500,-505.44409722222224,1.70,45.0
10431,213100,-1033.6837284482758,1.70,29.0
10432,207300,-478.47836538461536,1.70,52.0
10433,216400,-439.5927734375,1.70,16.0
10434,213900,-633.4761513157895,1.70,38.0
10435,214600,-1829.775390625,1.70,32.0
10436,214800,-1986.1588541666667,1.70,30.0
10437,214900,-1264.9276315789473,1.70,19.0
10438,214100,-1656.4050925925926,1.70,27.0
10439,216500,-2125.746710526316,1.70,19.0
10440,216600,-3544.613839285714,1.70,21.0
10441,213300,-527.7230603448276,1.70,29.0
10442,217500,-1108.186755952381,1.70,21.0
10443,212000,-960.2889030612245,1.70,49.0
10444,217000,-2379.8171875,1.70,10.0
10445,210700,-1238.033909574468,1.70,47.0
10446,210600,-1087.65859375,1.70,40.0
10447,215300,-2546.3166666666666,1.70,15.0
10448,211800,-242.8470643939394,1.70,33.0
10449,211600,-1498.3897569444443,1.70,54.0
10450,213000,-90.30649038461539,1.70,26.0
10451,213600,-1647.7789351851852,1.70,27.0
10452,212400,-2263.3828125,1.70,40.0
10453,219700,-5198.064732142857,1.70,7.0
10454,209600,-579.8290094339623,1.70,53.0
10455,214400,-1609.5260416666667,1.70,18.0
10456,144800,10618.901041666666,1.70,3.0
10457,154400,4877.5,1.70,1.0
10458,159300,5090.359375,1.70,6.0
10459,168600,2261.6640625,1.70,6.0
10460,166200,3304.68359375,1.70,4.0
10461,174600,1682.313701923077,1.70,13.0
10462,176000,707.8958333333334,1.70,6.0
10463,174500,2110.28125,1.70,7.0
10464,175100,542.7829861111111,1.70,9.0
10465,181500,2165.5013020833335,1.70,12.0
10466,183800,1971.193359375,1.70,16.0
10467,186300,1533.35390625,1.70,20.0
10468,192300,705.3245738636364,1.70,22.0
10469,213500,-2492.1629464285716,1.70,35.0
10470,213400,-2500.0152138157896,1.70,38.0
10471,212200,-2373.082142857143,1.70,35.0
10472,217400,-1539.564453125,1.70,16.0
10473,211400,-721.2634375,1.70,50.0
10474,214700,-2039.92578125,1.70,32.0
10475,215400,-2606.8981481481483,1.70,27.0
10476,215200,-1502.6270380434783,1.70,23.0
10477,214300,-537.025,1.70,20.0
10478,214000,-1267.452380952381,1.70,21.0
10479,212300,-489.68973214285717,1.70,42.0
10480,214200,-2024.47265625,1.70,24.0
10481,210200,-234.378125,1.70,45.0
10482,216900,-3147.940848214286,1.70,14.0
10483,215800,-1490.6800595238096,1.70,21.0
10484,217600,-2971.4111328125,1.70,16.0
10485,217200,-2596.6610576923076,1.70,13.0
10486,210500,-817.6478365384615,1.70,52.0
10487,220500,-1862.278125,1.70,10.0
10488,216300,-2643.564338235294,1.70,17.0
10489,215900,-1206.0580357142858,1.70,21.0
10490,216700,-1177.9598214285713,1.70,21.0
10491,218600,-4210.306640625,1.70,8.0
10492,218400,-971.0924479166666,1.70,12.0
10493,215100,-1634.56375,1.70,25.0
10494,215500,-1730.365625,1.70,20.0
10495,212100,-653.8892463235294,1.70,34.0
10496,223500,-3162.859375,1.70,3.0
10497,217100,-2340.2760416666665,1.70,18.0
10498,216100,-2435.476041666667,1.70,15.0
10499,219900,-1822.0923295454545,1.70,11.0
10500,214500,-1272.695564516129,1.70,31.0
10501,218500,-3543.6341145833335,1.70,12.0
10502,219400,-2450.7670454545455,1.70,11.0
10503,215700,-996.3170572916666,1.70,24.0
10504,223600,-2808.38671875,1.70,4.0
10505,219200,-201.078125,1.70,6.0
10506,216200,-703.5183423913044,1.70,23.0
10507,218300,-1412.0904017857142,1.70,14.0
10508,212600,-1701.108984375,1.70,40.0
10509,213800,-537.305027173913,1.70,23.0
10510,217700,-911.234375,1.70,18.0
10511,220800,-4106.416666666667,1.70,9.0
10512,216000,-1336.75,1.70,21.0
10513,226500,-5582.9609375,1.70,2.0
10514,215600,-2508.4658203125,1.70,16.0
10515,218100,-853.7670454545455,1.70,11.0
10516,227100,-12084.4375,1.70,1.0
10517,215000,605.9299768518518,1.70,27.0
10518,217800,-855.8307291666666,1.70,12.0
10519,222200,-6352.546875,1.70,2.0
10520,221300,-3850.875,1.70,11.0
10521,150800,6218.651041666667,1.70,3.0
10522,161700,1707.6145833333333,1.70,3.0
10523,164500,2617.68359375,1.70,4.0
10524,170100,1872.171875,1.70,9.0
10525,171800,609.90625,1.70,9.0
10526,172100,1982.81875,1.70,10.0
10527,173200,1711.1197916666667,1.70,3.0
10528,177300,1311.6358173076924,1.70,13.0
10529,178800,381.3697916666667,1.70,15.0
10530,176900,2870.9010416666665,1.70,6.0
10531,182700,1283.4086538461538,1.70,13.0
10532,185900,1151.8777173913043,1.70,23.0
10533,187400,430.2860576923077,1.70,13.0
10534,194600,644.5581597222222,1.70,36.0
10535,207400,-817.6615767045455,1.70,44.0
10536,218200,-2287.353693181818,1.70,11.0
10537,210900,-798.2017463235294,1.70,34.0
10538,218800,-2233.4930555555557,1.70,9.0
10539,220900,-2279.6897321428573,1.70,7.0
10540,216800,-341.75434027777777,1.70,18.0
10541,218000,-2517.9290865384614,1.70,13.0
10542,220000,-2836.515625,1.70,5.0
10543,222900,-5363.984375,1.70,3.0
10544,219100,-3491.5334821428573,1.70,7.0
10545,148500,10149.078125,1.70,1.0
10546,158600,433.125,1.70,1.0
10547,172600,72.05580357142857,1.70,7.0
10548,175400,2614.1183035714284,1.70,7.0
10549,185800,-507.1841517857143,1.70,14.0
10550,196200,542.1902573529412,1.70,34.0
10551,211100,-1147.8063226744187,1.70,43.0
10552,223200,-3330.53125,1.70,5.0
10553,211700,-1103.5169270833333,1.70,48.0
10554,212900,-1327.1783088235295,1.70,34.0
10555,221600,-3776.620535714286,1.70,7.0
10556,220300,-4489.338541666667,1.70,6.0
10557,218700,-3747.0491071428573,1.70,7.0
10558,146300,9799.78125,1.70,2.0
10559,150700,6871.9765625,1.70,2.0
10560,160000,-147.3984375,1.70,2.0
10561,168200,-26.47265625,1.70,4.0
10562,172700,606.0125,1.70,5.0
10563,172400,947.109375,1.70,5.0
10564,175600,1278.721590909091,1.70,11.0
10565,174100,1598.0911458333333,1.70,6.0
