,Rbin,std,v_index,npt,v
245,85800,1047.9747687984675,0,31.0,0.70
246,86900,1038.3196794730318,0,22.0,0.70
247,89600,774.4417083709277,0,50.0,0.70
248,91300,982.5373244593779,0,59.0,0.70
249,97200,1333.9513210789603,0,87.0,0.70
250,97300,1228.5150463934947,0,77.0,0.70
251,94600,1274.8096136654474,0,90.0,0.70
252,94100,1317.2193419881353,0,91.0,0.70
253,94200,1091.3539656122318,0,105.0,0.70
254,95600,1054.7016753188818,0,87.0,0.70
255,96300,1213.7954863275488,0,112.0,0.70
256,90900,1078.2002542829666,0,69.0,0.70
257,97100,1131.203658927036,0,97.0,0.70
258,97800,1387.4109284576093,0,109.0,0.70
259,98100,1106.4711064037324,0,98.0,0.70
260,97500,1238.6935656757703,0,89.0,0.70
261,97600,1215.6128993008988,0,78.0,0.70
262,98500,1152.7824304006617,0,71.0,0.70
263,97400,1254.8376939777695,0,83.0,0.70
264,97700,1226.9042050929716,0,98.0,0.70
265,98700,1215.4462874866836,0,87.0,0.70
266,99800,1145.2667115179927,0,81.0,0.70
267,98600,1250.6171579659385,0,88.0,0.70
268,98300,1254.7194214378092,0,88.0,0.70
269,99600,1171.9366563359335,0,93.0,0.70
270,102100,1247.2273557780532,0,68.0,0.70
271,100400,1387.7592287727068,0,77.0,0.70
272,101500,1251.5412865679127,0,67.0,0.70
273,101000,1240.5729957822664,0,83.0,0.70
274,102700,1160.888344101858,0,57.0,0.70
275,99700,1232.3947144464819,0,99.0,0.70
276,102000,1223.7245512726258,0,73.0,0.70
277,100200,1361.002512534087,0,103.0,0.70
278,103200,1072.1718692527563,0,38.0,0.70
279,100700,1108.4647986645944,0,81.0,0.70
280,101400,1335.7067045430354,0,85.0,0.70
281,103500,1289.1459361299164,0,58.0,0.70
282,100300,1202.1943326271487,0,75.0,0.70
283,100800,1101.1957446802537,0,85.0,0.70
284,100500,1131.7104902155713,0,89.0,0.70
285,101300,1102.8307400808205,0,90.0,0.70
